target,feature_1,feature_2,feature_3,avg_R2,FF,FFS,SF,SFS,TF,TFS
sigma_112_e,Ta,Zr,gamma_112_usf,0.7484765408102548,gamma_112_usf,0.9894536209615256,Ta,-0.004939196781658301,Zr,-0.0051575961621517594
sigma_112_e,Ta,Zr,gamma_123_usf,0.7422827230257768,gamma_123_usf,1.0144541478807507,Zr,-0.005086786225629598,Ta,-0.008208658692468762
sigma_112_e,Ta,C11,gamma_112_usf,0.7269805662087016,gamma_112_usf,0.43159933039918746,C11,0.24834531159099682,Ta,-0.008402820476490878
sigma_112_e,Ta,C12,gamma_110_usf,0.7517352081312813,C12,0.3616294972910759,gamma_110_usf,0.3298925639878529,Ta,-0.00446150851610522
sigma_112_e,Ta,C12,gamma_112_usf,0.738879705058623,C12,0.35852402655363713,gamma_112_usf,0.3540988044219684,Ta,-0.005886211575199416
sigma_112_e,Ta,C12,gamma_123_usf,0.7298782432272448,gamma_123_usf,0.44512790149297543,C12,0.3046039734345715,Ta,-0.003588454806113214
sigma_112_e,Ta,C44,gamma_110_usf,0.7240252811755751,gamma_110_usf,0.5815730809213415,C44,0.18579873846538064,Ta,0.002902059358947594
sigma_112_e,Ta,C44,gamma_112_usf,0.7381967094198684,gamma_112_usf,0.5552898220888061,C44,0.19693652393539351,Ta,0.0030357017443974773
sigma_112_e,Ta,C44,gamma_123_usf,0.7813224637799284,gamma_123_usf,0.6189166398749445,C44,0.18762902155073322,Ta,0.0033533166443586795
sigma_112_e,Ta,Ecoh_(eV),gamma_110_usf,0.7682661227576949,gamma_110_usf,0.9569610842613846,Ecoh_(eV),0.0023904073164388562,Ta,-0.0005554855514722836
sigma_112_e,Ta,Ecoh_(eV),gamma_112_usf,0.7886325919048454,gamma_112_usf,1.060260011768633,Ecoh_(eV),0.0007378806802965677,Ta,-0.0008346816637161391
sigma_112_e,Ta,Ecoh_(eV),gamma_123_usf,0.7793238297625052,gamma_123_usf,1.092929682134695,Ecoh_(eV),0.0012387021002922226,Ta,-0.0028280039547422804
sigma_112_e,Ta,gamma_110_usf,gamma_112_usf,0.7633571256559529,gamma_110_usf,0.4456209114290723,gamma_112_usf,0.34642250668773505,Ta,-0.00131105983572769
sigma_112_e,Ta,gamma_110_usf,gamma_123_usf,0.7997419299980519,gamma_123_usf,0.3963915967652027,gamma_110_usf,0.38791736749698663,Ta,-0.0004766755637495499
