target,feature_1,feature_2,feature_3,avg_R2,top_feature,top_feature_score,second_top_feature,second_top_feature_score
sigma_112_e,Ta,C44,gamma_110_usf,0.7240252811755751,gamma_110_usf,0.5670336377712014,C44,0.20518637801712572
sigma_112_e,Ta,C44,gamma_112_usf,0.7381967094198684,gamma_112_usf,0.7151952786486268,C44,0.12453925453537001
sigma_112_e,Ta,C44,gamma_123_usf,0.7813224637799284,gamma_123_usf,0.6196552102201588,C44,0.199089734985152
sigma_112_e,Ta,Ecoh_(eV),gamma_110_usf,0.7682661227576949,gamma_110_usf,1.041942549639225,Ecoh_(eV),0.0031853194995416063
sigma_112_e,Ta,Ecoh_(eV),gamma_112_usf,0.7886325919048454,gamma_112_usf,1.042620499032555,Ecoh_(eV),0.0026077027037767465
sigma_112_e,Ta,Ecoh_(eV),gamma_123_usf,0.7793238297625052,gamma_123_usf,1.0330699486061545,Ecoh_(eV),0.0033264077304766154
sigma_112_e,Ta,gamma_110_usf,gamma_112_usf,0.7633571256559529,gamma_112_usf,0.42218250488074666,gamma_110_usf,0.389740886610272
sigma_112_e,Ta,gamma_110_usf,gamma_123_usf,0.7997419299980519,gamma_110_usf,0.4145776493882369,gamma_123_usf,0.3491494754644291
sigma_112_e,Ta,gamma_110_usf,tao_112_iss,0.7651480929247554,gamma_110_usf,0.6839183432350678,tao_112_iss,0.12193472920307125
sigma_112_e,Ta,gamma_112_usf,gamma_123_usf,0.792891309666743,gamma_112_usf,0.39770368820489793,gamma_123_usf,0.3231310752518341
sigma_112_e,Ta,gamma_123_usf,tao_110_iss,0.7486379521117121,gamma_123_usf,0.8232196474558466,tao_110_iss,0.06582775389378245
sigma_112_e,Ti,Mo,gamma_110_usf,0.7750236978520113,gamma_110_usf,0.3806194316914877,Mo,0.37223371084604384
sigma_112_e,Ti,Mo,gamma_112_usf,0.7721783782294577,gamma_112_usf,0.4945773110877518,Mo,0.34000460544543326
sigma_112_e,Ti,Mo,gamma_123_usf,0.7837716914617491,Mo,0.41081741106879127,gamma_123_usf,0.38430979740831733
sigma_112_e,Ti,Hf,gamma_110_usf,0.7718022571258016,gamma_110_usf,1.0306786444762845,Ti,-0.0006807924157141454
sigma_112_e,Ti,Hf,gamma_112_usf,0.7539046590291263,gamma_112_usf,1.013432831820589,Ti,0.0006881617949381011
sigma_112_e,Ti,Hf,gamma_123_usf,0.7679229358037237,gamma_123_usf,0.9916155991994393,Ti,0.0019116431071827024
sigma_112_e,Ti,Zr,gamma_110_usf,0.7873072450396111,gamma_110_usf,1.0177371508890931,Ti,0.0018255486137077823
sigma_112_e,Ti,Zr,gamma_112_usf,0.7690871697491547,gamma_112_usf,1.0478270658693776,Ti,-0.00025736327950265137
sigma_112_e,Ti,Zr,gamma_123_usf,0.7694407114115448,gamma_123_usf,1.0839447083756821,Zr,0.0004639596288958003
sigma_112_e,Ti,C11,gamma_112_usf,0.727070543713488,gamma_112_usf,0.45000258023852147,C11,0.2394849654767717
sigma_112_e,Ti,C11,gamma_123_usf,0.711628818168923,gamma_123_usf,0.49563470236097223,C11,0.24199276629788555
sigma_112_e,Ti,C12,gamma_110_usf,0.7630536938385443,gamma_110_usf,0.4306812733951806,C12,0.351793588371815
sigma_112_e,Ti,C12,gamma_112_usf,0.7721083626012488,gamma_112_usf,0.3909236867514126,C12,0.36453932271571454
